192.168.2.107, 2022-06-15 16:12:17, GET, /admin/default/edit/getbooks/controllers/default.py, HTTP/1.1, 200, 0.016987
192.168.2.107, 2022-06-15 16:12:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:12:17, GET, /admin/default/edit/getbooks/controllers/default.py, HTTP/1.1, 200, 0.112248
192.168.2.107, 2022-06-15 16:12:18, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.181058
192.168.2.107, 2022-06-15 16:12:18, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.197016
192.168.2.107, 2022-06-15 16:12:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.246885
192.168.2.107, 2022-06-15 16:12:18, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.124668
192.168.2.107, 2022-06-15 16:12:18, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.947555
192.168.2.107, 2022-06-15 16:12:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106745
192.168.2.107, 2022-06-15 16:12:23, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.769750
192.168.2.107, 2022-06-15 16:13:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.111271
192.168.2.107, 2022-06-15 16:13:18, GET, /admin/default/index, HTTP/1.1, 303, 0.180062
192.168.2.107, 2022-06-15 16:13:18, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.808940
192.168.2.107, 2022-06-15 16:13:18, GET, /admin/default/site, HTTP/1.1, 200, 0.021942
192.168.2.107, 2022-06-15 16:13:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:13:23, GET, /getbooks/default/index, HTTP/1.1, 200, 0.142618
192.168.2.107, 2022-06-15 16:13:23, GET, /getbooks/static/images/background.jpg, HTTP/1.1, 404, 0.002994
192.168.2.107, 2022-06-15 16:13:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.118762
192.168.2.107, 2022-06-15 16:13:23, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.795305
192.168.2.107, 2022-06-15 16:13:25, GET, /admin/default/site, HTTP/1.1, 200, 0.177525
192.168.2.107, 2022-06-15 16:13:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
192.168.2.107, 2022-06-15 16:13:28, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.058843
192.168.2.107, 2022-06-15 16:13:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:14:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114506
192.168.2.107, 2022-06-15 16:14:23, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.768338
192.168.2.107, 2022-06-15 16:14:24, POST, /admin/default/create_file, HTTP/1.1, 303, 0.101727
192.168.2.107, 2022-06-15 16:14:24, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.672804
192.168.2.107, 2022-06-15 16:14:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
192.168.2.107, 2022-06-15 16:14:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
192.168.2.107, 2022-06-15 16:15:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.114692
192.168.2.107, 2022-06-15 16:15:23, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.786507
192.168.2.107, 2022-06-15 16:16:15, POST, /admin/default/create_file, HTTP/1.1, 303, 0.012965
192.168.2.107, 2022-06-15 16:16:15, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.050889
192.168.2.107, 2022-06-15 16:16:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:16:21, GET, /admin/default/peek/getbooks/views/index.html, HTTP/1.1, 200, 0.370010
192.168.2.107, 2022-06-15 16:16:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
192.168.2.107, 2022-06-15 16:16:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.113607
192.168.2.107, 2022-06-15 16:16:24, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.928782
